timestamp,label_id,gsv_panorama_id,sv_image_x,sv_image_y,validation_result,label_type
2019-04-16 12:19:30.527-07,494,D5Se4AuiyxHr2ht2CkjnBQ,9589,-1343,agree,CurbRamp
2019-04-16 12:25:21.971-07,1277,LsO4IQZWo6v_SB8MIg4QpQ,7141,-464,agree,NoCurbRamp
2019-04-16 12:26:34.483-07,694,dKC7lxGxB8MNWKOrDOpZsQ,10448,-1005,disagree,SurfaceProblem
2019-04-16 12:39:16.313-07,1058,oqP7byVfpym5eotQ9U4fdA,4741,-478,disagree,SurfaceProblem
2019-04-16 12:19:31.566-07,2101,4rj8R4UKWQbcqz9DSd6BgA,5206,-1710,agree,CurbRamp
2019-04-16 12:21:21.246-07,651,WejfbZ22qlq-VZJwreE5Fg,3746,-1018,agree,SurfaceProblem
2019-04-16 12:32:41.05-07,3014,LXqLO0Fw3Zia9F6ZY7thnw,8941,-714,agree,CurbRamp
2019-04-16 12:32:51.203-07,629,5f6UAV6KRhpRiUOg9Aw-qg,795,-463,agree,CurbRamp
2019-04-16 12:40:53.231-07,383,idYCvlxAe29SD5bymWo-7w,5603,-1027,agree,Obstacle
2019-04-16 12:41:17.265-07,2492,W8_emPaPRqM87VAUNvL9KQ,9076,-448,agree,Obstacle
2019-04-16 12:43:23.5-07,558,V-L9_vKYo_c8ftXiiIei2w,7924,-640,agree,CurbRamp
2019-04-16 12:51:11.546-07,876,Et9Zm3Esp8JS9UByHyDGww,9946,-432,disagree,SurfaceProblem
2019-04-16 12:53:06.43-07,1537,HmIrniqCXRRLdzjoaAmLfA,9892,-842,unclear,SurfaceProblem
2019-04-16 12:54:55.9-07,1450,-3U8A-IJ0SPGQd379GCfMA,6411,-716,agree,CurbRamp
2019-04-16 12:57:11.466-07,838,7ujsI1IaeN3Z-zrg4HUQHw,5447,-513,agree,SurfaceProblem
2019-04-16 12:58:07.713-07,2755,fmMub6D899aDUy-lqFWVDA,12477,-535,agree,Obstacle
2019-04-16 12:58:36.713-07,513,pX8k1JNtPHn6ApSLt0WG-A,9908,-598,agree,SurfaceProblem
2019-04-16 13:12:38.181-07,1654,3MUWcxZ-YrPeURtrfYbf5w,1379,-563,agree,CurbRamp
2019-04-16 13:18:17.595-07,2776,KNAbXuDajY98pr5hQt4zJw,1446,-314,agree,NoCurbRamp
2019-04-16 12:55:59.283-07,61,dd3XXVb8eaIf5FcUAMqySg,10095,-775,agree,Obstacle
2019-04-16 12:57:05.123-07,652,nZMTzQsf8Yhsb8Dd9yBwHw,2104,-734,agree,SurfaceProblem
2019-04-16 12:57:52.681-07,853,T4qW76s-3MCGQfsXJ0G7AA,2201,-179,agree,Obstacle
2019-04-16 13:11:41.481-07,548,QOj07LM2sJRztq0zpQgdiA,2011,-267,agree,SurfaceProblem
2019-04-16 13:28:23.532-07,1015,WaQLAHgltK-hu7bF0T8yJg,4913,-732,agree,SurfaceProblem
2019-04-16 12:55:55.522-07,1525,205wWrVrhCNrwIXS-jwFzA,4830,-252,agree,Obstacle
2019-04-16 12:58:00.856-07,2090,nTol0mPdHLvkBYOC2VYToA,1498,-913,disagree,Obstacle
2019-04-16 13:13:33.859-07,52,A-eM226LYCgGNB1WLubj8Q,2339,-946,agree,SurfaceProblem
2019-04-16 13:18:03.511-07,372,cmucC73cw4gRsuMaUi4rrg,9186,-424,agree,NoCurbRamp
2019-04-16 12:53:29.135-07,1951,RuCFS7Zkg9pqvKOS1KYC9A,3259,-1596,agree,SurfaceProblem
2019-04-16 13:13:30.207-07,1015,WaQLAHgltK-hu7bF0T8yJg,4913,-732,unclear,SurfaceProblem
2019-04-16 12:55:09.239-07,192,7YiyTzFbvNivLvYXAuu88Q,3194,-779,agree,Obstacle
2019-04-16 12:55:40.995-07,3199,z2CaNDeJwX0fFi45ay-xTg,10635,-390,agree,Obstacle
2019-04-16 12:56:02.618-07,722,Wo48_aT9oB8iT_kLiRKPyw,13244,-296,agree,Obstacle
2019-04-16 12:57:00.914-07,1686,yR51O4ESGrxvZxlaO6bi7A,2425,-139,disagree,SurfaceProblem
2019-04-16 13:21:19.428-07,857,brmET-k8-7Wc7c6EpWEc1w,4967,-528,disagree,SurfaceProblem
2019-04-16 13:28:17.518-07,3746,cPj5Uu3gNiXStiUh0Q5c-Q,7921,-351,unclear,SurfaceProblem
2019-04-16 12:55:43.227-07,1314,VNQoX0jKHUnS-3q2WUrRYA,7903,-358,agree,Obstacle
2019-04-16 12:56:57.45-07,1951,RuCFS7Zkg9pqvKOS1KYC9A,3259,-1596,agree,SurfaceProblem
2019-04-16 12:58:05.553-07,1549,F-6b8FBDGwLu2JxCGig_RA,1190,-279,disagree,Obstacle
2019-04-16 13:10:41.118-07,1028,g-_dh0jB9VxwlR3GvCpbxA,843,-302,agree,CurbRamp
2019-04-16 13:19:08.65-07,645,r2Oo5S8v2ritGCEjbC3fEA,4146,-951,agree,SurfaceProblem
2019-04-16 13:29:29.761-07,2848,Mpczc3ZjyjxWgWW1YusXLg,7662,-637,agree,CurbRamp
2019-04-16 12:56:29.628-07,1808,nb9t2WMO155n_KZOcxOECQ,4152,-491,agree,Obstacle
2019-04-16 12:57:09.075-07,851,xjFbY9o7maOIw6WWqGPb3g,4835,-561,disagree,SurfaceProblem
2019-04-16 12:57:58.367-07,25,7Y3UweyyZqDYGrFaXYUyUA,6474,-1402,agree,Obstacle
2019-04-16 12:58:02.337-07,3616,KNqpqoiAo51zDgLJZGXmqg,12746,-388,agree,Obstacle
2019-04-16 12:58:38.609-07,647,yniMIVaOvbrF21Hv797hZw,9259,-628,disagree,SurfaceProblem
2019-04-16 13:11:21.226-07,1196,aEby4BBbrLfYPsC1VG7FGg,3226,-649,unclear,SurfaceProblem
2019-04-16 13:11:26.136-07,1057,oqP7byVfpym5eotQ9U4fdA,6321,-576,unclear,SurfaceProblem
2019-04-16 13:13:10.413-07,3424,XrMxPrpfJriCQuO6oqKnkQ,385,-605,unclear,SurfaceProblem
2019-04-16 13:13:18.938-07,1058,oqP7byVfpym5eotQ9U4fdA,4741,-478,disagree,SurfaceProblem
2019-04-16 13:13:22.896-07,283,DF4VBwDNJeFEg80MG6WL-A,4043,-608,agree,SurfaceProblem
2019-04-16 13:19:02.106-07,420,qTqy8ApuwdqFJLM39Tpohw,2489,-596,agree,SurfaceProblem
2019-04-16 13:19:06.486-07,675,FJXZlhq1mrA_YcRtffgemA,147,-645,disagree,SurfaceProblem
2019-04-16 13:21:06.604-07,1789,wZcACJ8ffj0ZiCuts2vH3w,3184,-490,disagree,SurfaceProblem
2019-04-16 13:30:07.893-07,837,FtVutmNrUKipYvd8o9vcaw,2915,-385,agree,Obstacle
2019-04-16 13:28:40.016-07,549,9LEVZRCMnKr72YlnRxmw1g,4634,-440,agree,SurfaceProblem
2019-04-16 13:22:52.412-07,761,VFCm87uDgQGl_dGyUwniWA,6776,-715,agree,CurbRamp
2019-04-16 13:31:12.755-07,682,h23DpudAUQLh6JtsZcPseg,11091,-857,agree,SurfaceProblem
2019-04-16 13:22:56.839-07,494,D5Se4AuiyxHr2ht2CkjnBQ,9589,-1343,agree,CurbRamp
2019-04-16 13:29:28.568-07,1234,QIyXD3LVDR8MzD37SaeYjw,849,-383,agree,CurbRamp
2019-04-16 13:28:38.37-07,3424,XrMxPrpfJriCQuO6oqKnkQ,385,-605,agree,SurfaceProblem
2019-04-16 13:30:12.051-07,1320,E4k4z3NyNliDRFMn_94fig,919,-641,agree,Obstacle
2019-04-16 13:27:49.354-07,1922,iW9sQHZj-q8tcm85q7uY9w,11040,-845,agree,NoCurbRamp
2019-04-16 13:30:21.291-07,3246,Lzh3lL_2bbN_Y50h94JGcw,1901,-236,unclear,Obstacle
2019-04-16 13:59:07.855-07,3505,QP-wbK_b0uXCjHa8rGpDzg,658,-191,agree,Obstacle
2019-04-16 13:59:38.178-07,2240,LUc-zNs7mO2ahq797oH-zQ,2443,-606,agree,Obstacle
2019-04-16 14:00:38.469-07,3741,AMy0YK5e6tKbSaD4_gU9Nw,8665,-736,agree,SurfaceProblem
2019-04-16 14:00:44.617-07,849,SzUNzkpyoigCgXD0knFj7Q,4751,-539,unclear,SurfaceProblem
2019-04-16 14:00:53.247-07,3992,NFwh53HqeFNDgG1ehqJUCg,11272,-284,unclear,SurfaceProblem
2019-04-16 14:02:50.627-07,2042,NTS4zffJMvbbZk5q1pZPRw,9474,-597,agree,CurbRamp
2019-04-16 14:38:48.435-07,804,22eSqmXh8urszibqJkvoPg,879,-197,agree,CurbRamp
2019-04-16 14:04:33.422-07,1431,fG8IfgmxxrrbToWxg1L50Q,13036,-63,disagree,Obstacle
2019-04-16 14:04:37.61-07,953,7MUGzvisqGPhkgU93ieBVA,12029,-227,disagree,Obstacle
2019-04-16 14:04:59.081-07,2097,UUiDDc1b4CUITVCmY2uTlQ,12584,-340,disagree,Obstacle
2019-04-16 14:04:40.6-07,469,6WbY_F4cHQF3KGel39vcQw,6991,-536,agree,Obstacle
2019-04-16 14:13:26.783-07,1444,XnNhHtlKQC3_UqFh1eurjA,862,-1045,agree,NoCurbRamp
2019-04-16 14:39:22.373-07,838,7ujsI1IaeN3Z-zrg4HUQHw,5447,-513,agree,SurfaceProblem
2019-04-16 15:11:15.84-07,2985,dTz4WUjV2cN8CdlrYRIljQ,5713,-352,agree,SurfaceProblem
2019-04-16 15:11:18.486-07,53,A-eM226LYCgGNB1WLubj8Q,4108,-331,agree,SurfaceProblem
2019-04-16 15:11:46.684-07,850,fVFuNAzqNmIHqy4oQ03p6w,4860,-532,disagree,SurfaceProblem
2019-04-16 15:13:42.729-07,3715,3cVMk8nTH_hvkIvKz7EG_A,1277,-1117,agree,SurfaceProblem
2019-04-16 15:13:49.237-07,846,wLqtOvq4KZVoLhbwJc-nQg,4991,-514,unclear,SurfaceProblem
2019-04-16 15:13:55.897-07,3870,tE0q84m2OG42jdfAu53vUA,12747,-503,unclear,SurfaceProblem
2019-04-16 15:14:58.267-07,2776,KNAbXuDajY98pr5hQt4zJw,1446,-314,agree,NoCurbRamp
2019-04-16 15:15:08.445-07,3991,hSaydddWmJSsxHfbjf5a5w,12232,-530,agree,NoCurbRamp
2019-04-16 15:15:33.8-07,1539,upKzswvqdZ3YTVsC75A_GA,12436,-609,agree,NoCurbRamp
2019-04-16 15:15:56.203-07,856,xpZ2jSxOwSAYpXehsVX4EQ,5102,-537,disagree,SurfaceProblem
2019-04-16 15:15:57.731-07,694,dKC7lxGxB8MNWKOrDOpZsQ,10448,-1005,disagree,SurfaceProblem
2019-04-16 15:16:05.312-07,851,xjFbY9o7maOIw6WWqGPb3g,4835,-561,unclear,SurfaceProblem
2019-04-16 15:16:45.518-07,410,wuk--sZ3fJyMsMo4tJuybg,4680,-625,agree,SurfaceProblem
2019-04-16 15:16:52.766-07,655,oAfObst8-OwFlUaV1Ca8kQ,2214,-952,unclear,SurfaceProblem
2019-04-16 15:19:23.305-07,3812,BOvhSZypNJuzZXytc5YiUQ,7973,-772,agree,NoCurbRamp
2019-04-16 15:20:19.203-07,71,D5Se4AuiyxHr2ht2CkjnBQ,6236,-393,agree,NoCurbRamp
2019-04-16 16:02:38.485-07,3984,5WMPHKZouHnfkS9cCmVfTQ,11968,-397,agree,Obstacle
2019-04-16 15:51:17.879-07,652,nZMTzQsf8Yhsb8Dd9yBwHw,2104,-734,agree,SurfaceProblem
2019-04-16 15:56:11.233-07,4153,tdJ2rCd-g_dJw6zAqZprmQ,5229,-874,unclear,SurfaceProblem
2019-04-16 15:34:29.413-07,850,fVFuNAzqNmIHqy4oQ03p6w,4860,-532,disagree,SurfaceProblem
2019-04-16 15:54:08.565-07,1922,iW9sQHZj-q8tcm85q7uY9w,11040,-845,agree,NoCurbRamp
2019-04-16 15:55:59.519-07,4050,HQQIEIvmbK3eMnaniGnH-A,13155,-371,agree,SurfaceProblem
2019-04-16 15:49:06.72-07,444,Y8my1cju0ZJm790K50k4yQ,6377,-1022,disagree,NoCurbRamp
2019-04-16 15:49:47.774-07,222,jCAimau0IoExc3RWWzR1Cw,5371,-1853,unclear,NoCurbRamp
2019-04-16 15:51:21.363-07,4126,g3I51iAXRxPxXdU3HFYwWw,4380,-314,disagree,SurfaceProblem
2019-04-16 15:53:21.12-07,1091,xknXWuoxVvX58NGN6sJ2vQ,1647,-291,agree,NoCurbRamp
2019-04-16 16:04:48.704-07,3278,I4LzcZH01iFMqV4TEmU31A,7744,-440,disagree,CurbRamp
2019-04-16 15:19:37.765-07,2923,TbnddpqaS4yDkFgxrQEK5Q,9081,-471,disagree,NoCurbRamp
2019-04-16 15:20:11.843-07,2487,C53067ydrIIbtOGk9Vb7Zw,3622,-477,disagree,NoCurbRamp
2019-04-16 15:50:47.002-07,3901,BDx1ZqgQt0xCQi4iViC03w,11624,-823,agree,NoCurbRamp
2019-04-16 15:52:29.873-07,745,xH_1fDXe4FXo-Q9QP8UZ-A,8732,-913,agree,CurbRamp
2019-04-16 15:52:34.011-07,2166,RsHQr0XpwXlckxD9R4QbVw,1869,-252,agree,CurbRamp
2019-04-16 15:34:15.057-07,652,nZMTzQsf8Yhsb8Dd9yBwHw,2104,-734,disagree,SurfaceProblem
2019-04-16 15:34:22.284-07,680,AqwNzjEXzE0LhxIln801Gg,973,-498,disagree,SurfaceProblem
2019-04-16 15:34:31.08-07,2247,3ZqzG78yCvMxWjtsbS4sUA,2820,-577,agree,SurfaceProblem
2019-04-16 15:49:15.93-07,259,yVu1RX2Ri4CQa2dpYDoxAA,2307,-280,agree,NoCurbRamp
2019-04-16 15:50:07.992-07,1222,Wayx3oXQotW5tNO5MGiIHw,1366,-1719,agree,CurbRamp
2019-04-16 15:50:21.256-07,2035,NTS4zffJMvbbZk5q1pZPRw,1554,-648,agree,NoCurbRamp
2019-04-16 15:51:10.244-07,2985,dTz4WUjV2cN8CdlrYRIljQ,5713,-352,agree,SurfaceProblem
2019-04-16 15:52:33.815-07,751,JKl0dvQHWiZfxdx-kVcp_w,8750,-1113,disagree,SurfaceProblem
2019-04-16 15:53:08.794-07,2507,OCXcoiBzrjS1KbyIzez83g,947,-475,agree,NoCurbRamp
2019-04-16 15:53:18.26-07,254,yVu1RX2Ri4CQa2dpYDoxAA,1426,-585,agree,NoCurbRamp
2019-04-16 15:54:31.702-07,677,AqwNzjEXzE0LhxIln801Gg,813,-650,agree,NoCurbRamp
2019-04-16 15:56:30.714-07,2675,vgWIpyO2xEL8ceVKK8u4QA,11605,-634,agree,NoCurbRamp
2019-04-16 16:08:58.406-07,1058,oqP7byVfpym5eotQ9U4fdA,4741,-478,agree,SurfaceProblem
2019-04-16 16:10:25.925-07,222,jCAimau0IoExc3RWWzR1Cw,5371,-1853,disagree,NoCurbRamp
2019-04-16 16:34:04.569-07,3061,QxbzMVZ-YYo_voWhEwVV6A,11549,-289,agree,Obstacle
2019-04-16 16:02:36.457-07,1946,ygjyGcyTFoqeYILY2wpOxw,9224,-622,agree,Obstacle
2019-04-16 16:04:15.982-07,359,DTN__8w8ljcdVDYlDJ9Vog,5190,-359,agree,CurbRamp
2019-04-16 16:04:37.31-07,2871,9QxGWLzV3Yji5eLTpFM8bw,10647,-221,unclear,CurbRamp
2019-04-16 16:02:48.498-07,2878,y3Y2-dz1rtZpCqH0W-Odyw,4762,-526,disagree,Obstacle
2019-04-16 16:08:47.499-07,846,wLqtOvq4KZVoLhbwJc-nQg,4991,-514,agree,SurfaceProblem
2019-04-16 16:09:43.946-07,2675,vgWIpyO2xEL8ceVKK8u4QA,11605,-634,agree,NoCurbRamp
2019-04-16 16:02:33.484-07,905,xscW1Uom1Upky-QGqHrwhw,3782,-456,agree,Obstacle
2019-04-16 16:03:05.342-07,1980,eyktT1fL6ymP6jOXXa9_0Q,10691,-309,agree,Obstacle
2019-04-16 16:09:07.526-07,650,9Ec-rByR7q90916QMnrZjw,3007,-1108,agree,SurfaceProblem
2019-04-16 16:10:35.344-07,1529,h1R0EBFlKSQd2N4yIFhguQ,78,-662,disagree,NoCurbRamp
2019-04-16 16:31:04.371-07,1324,bR6oV1AfV5_ZgG9qxk7sJg,12685,-100,agree,Obstacle
2019-04-16 16:33:55.591-07,870,gtZURGpFLF06wq2toy_gBg,3533,-318,agree,Obstacle
2019-04-16 16:34:12.331-07,2816,ALA9Q-F1OTzGVtgPsTJkPw,1103,-226,disagree,Obstacle
2019-04-16 16:48:04.163-07,889,b_oAXeqgQXNskG-vg5PiVQ,11607,-248,agree,Obstacle
2019-04-16 16:48:05.987-07,749,Kdy17T0hvCa_9qpAJYHLjg,8040,-1205,agree,Obstacle
2019-04-16 16:48:11.365-07,1808,nb9t2WMO155n_KZOcxOECQ,4152,-491,agree,Obstacle
2019-04-16 16:48:13.118-07,1324,bR6oV1AfV5_ZgG9qxk7sJg,12685,-100,agree,Obstacle
2019-04-16 16:48:14.597-07,2755,fmMub6D899aDUy-lqFWVDA,12477,-535,agree,Obstacle
2019-04-16 16:48:46.08-07,3505,QP-wbK_b0uXCjHa8rGpDzg,658,-191,agree,Obstacle
2019-04-16 16:48:47.405-07,3199,z2CaNDeJwX0fFi45ay-xTg,10635,-390,agree,Obstacle
2019-04-16 16:48:50.235-07,4230,OkUNf5Iejn03-NppiYCj0g,5537,-393,agree,Obstacle
2019-04-16 16:48:53.499-07,3251,nC0E3q3UrWGGC-bBmo-tZQ,10119,-457,disagree,Obstacle
2019-04-16 16:49:17.975-07,3508,4rjkXMHmydAqD2G4eqYNYg,1544,-552,disagree,Obstacle
